Date,Open,High,Low,Close,Volume,Market Cap
Sep-16-2014,475.371,475.642,465.128,465.955,17009657.986111112,6253818030.18199
Sep-15-2014,477.892,478.62,474.022,475.434,13833225.435540069,6326559846.352878
Sep-14-2014,479.002,479.853,476.119,477.745,13572706.25,6344853412.125508
Sep-13-2014,477.753,482.117,475.098,478.879,15561947.569444444,6347133307.173951
Sep-12-2014,479.749,479.749,473.009,477.593,16115760.278745644,6318332807.076064
Sep-11-2014,479.359,482.351,474.61,479.645,19749719.444444444,6347493681.060358
Sep-10-2014,475.26,487.468,475.145,478.795,23149584.375,6378105416.687167
Sep-09-2014,474.6,477.377,467.778,475.503,24663840.277777776,6251550670.511097
Sep-08-2014,482.278,489.834,468.79,474.789,20113001.48409894,6291521102.044625
Sep-07-2014,484.83,488.066,482.633,482.633,9342224.375,6434130705.514884
Sep-06-2014,483.342,488.595,482.998,485.021,12249630.902777778,6423651415.195352
Sep-05-2014,489.66,490.643,481.609,483.116,22846763.06620209,6442479858.693912
Sep-04-2014,477.586,493.928,477.086,490.113,17910862.847222224,6399912147.699904
Sep-03-2014,477.426,481.712,476.208,477.548,17011548.263888888,6319099520.8445835
Sep-02-2014,474.879,482.988,472.324,477.51,21058876.223776225,6313475894.049043
Sep-01-2014,477.763,485.306,471.91,475.725,33147391.986062717,6334398454.707097
Aug-31-2014,504.249,504.879,474.814,477.332,27322152.673611112,6453750578.626331
Aug-30-2014,508.517,509.308,501.636,504.399,15672012.951388888,6664219104.682512
Aug-29-2014,507.815,511.695,503.817,508.572,18113964.80836237,6710831853.407746
Aug-28-2014,511.153,516.157,506.877,507.368,20974827.083333332,6739398344.833507
Aug-27-2014,511.57,520.709,510.922,510.922,23876633.680555556,6798400819.523167
Aug-26-2014,502.496,512.688,502.496,511.666,19927680.555555556,6698889324.267439
Aug-25-2014,508.286,508.286,499.233,502.646,18981944.25087108,6630300214.857397
Aug-24-2014,498.075,512.888,497.351,508.066,21906956.597222224,6646218185.67407
Aug-23-2014,514.043,514.299,492.114,498.418,30248240.277777776,6622765859.421541
Aug-22-2014,517.237,521.479,501.275,514.677,40525580.83623693,6751976345.305951
Aug-21-2014,511.98,531.9,510.449,517.153,57062250.69444445,6828192713.635536
Aug-20-2014,485.245,518.285,467.511,513.219,38464101.38888889,6452119696.919231
Aug-19-2014,461.46,485.71,455.539,483.471,46453523.26388889,6225413738.916373
Aug-18-2014,491.795,499.37,443.851,461.424,36541357.839721255,6198074776.06974
Aug-17-2014,519.708,520.19,483.626,492.633,23722638.888888888,6598287281.627083
Aug-16-2014,497.01,521.475,487.744,520.182,25650440.277777776,6602515780.296505
Aug-15-2014,505.974,518.179,487.926,497.245,28753135.88850174,6721809452.300245
Aug-14-2014,546.658,546.658,498.725,505.974,32626245.486111112,6826154245.317592
Aug-13-2014,569.642,573.033,532.667,546.08,18579486.805555556,7265606050.487564
Aug-12-2014,576.368,576.948,566.595,569.592,17303184.375,7491684774.753191
Aug-11-2014,591.061,591.507,574.051,576.602,9380006.829268293,7694282039.779351
Aug-10-2014,589.372,594.46,587.942,591.01,7071456.527777778,7742835733.418812
Aug-09-2014,592.577,592.577,587.633,589.262,9176716.736111112,7729687828.123422
Aug-08-2014,588.869,598.116,588.791,592.619,13124577.351916377,7778469860.261321
Aug-07-2014,584.653,591.104,584.052,588.785,10585161.770833334,7694240197.860668
Aug-06-2014,585.436,587.486,583.098,584.63,9972679.0625,7677023082.30298
Aug-05-2014,588.782,589.865,584.102,585.166,11226674.722222222,7688633835.328032
Aug-04-2014,586.666,591.946,583.74,588.716,8283256.515679442,7684657768.19521
Aug-03-2014,589.333,589.333,581.65,585.625,8254428.784722222,7661108134.512382
Aug-02-2014,594.916,594.916,586.155,589.412,13558381.92982456,7730414518.271515
Aug-01-2014,586.235,597.922,583.634,594.908,20034622.85714286,7730850360.281457
Jul-31-2014,567.293,586.235,564.511,586.235,19949510.763888888,7541845083.6428585
Jul-30-2014,584.725,585.122,564.896,566.849,11562696.493055556,7566763401.064319
Jul-29-2014,585.691,588.385,581.695,584.679,14844783.95522388,7645970308.81085
Jul-28-2014,593.852,594.573,575.185,585.76,14477090.945454545,7641972385.494973
Jul-27-2014,595.813,598.942,593.43,594.316,8913880.833333334,7782101048.722724
Jul-26-2014,601.089,602.088,593.964,595.985,11865350,7800554796.232361
Jul-25-2014,601.733,607.065,597.226,601.611,18322355.74912892,7853094112.363092
Jul-24-2014,619.415,620.429,595.566,601.243,16520255.902777778,7964429125.853978
Jul-23-2014,621.551,624.431,618.293,619.337,9578867.916666666,8108864371.779805
Jul-22-2014,622.211,624.298,620.957,621.413,10403722.743055556,8123716395.183969
Jul-21-2014,623.9,624.09,619.109,622.034,7644422.947368421,8103979111.523336
Jul-20-2014,628.515,628.559,622.775,623.994,6156051.041666667,8151861711.1901245
Jul-19-2014,628.779,629.166,624.597,628.628,12494571.388888888,8182834431.684298
Jul-18-2014,623.089,629.213,620.472,629.213,15501255.052264808,8115506232.023873
Jul-17-2014,616.8,626.29,608.399,622.987,13167452.194444444,8061410980.771724
Jul-16-2014,621.586,623.092,615.325,616.934,12169039.520833334,8066816930.802682
Jul-15-2014,619.315,625.141,619.315,622.054,11434746.180555556,8115173369.386614
Jul-14-2014,626.497,627.342,617.322,619.875,11318627.87456446,8093071083.653359
Jul-13-2014,633.713,634.727,624.909,626.521,12198057.692307692,8184162955.741302
Jul-12-2014,632.003,636.658,626.982,634.278,16679989.930555556,8211613262.493688
Jul-11-2014,616.762,632.086,615.769,632.086,15621345.993031358,8099875421.382404
Jul-10-2014,624.509,626.116,612.346,616.838,12242666.354166666,8061155141.527906
Jul-09-2014,625.221,626.998,622.596,624.532,9481762.671480145,8127647315.561276
Jul-08-2014,622.57,626.695,620.907,624.818,15359606.119402984,8108142044.926685
Jul-07-2014,635.463,637.157,617.007,624.086,11588070.416666666,8164408444.567699
Jul-06-2014,631.772,638.653,631.16,635.807,10272828.232558139,8237241057.103784
Jul-05-2014,629.951,633.222,628.004,631.457,16796410,8191302163.729913
Jul-04-2014,644.646,648.433,629.403,630.692,19966155.450236965,8290306433.011799
Jul-03-2014,650.769,650.769,641.303,645.156,22696624.55357143,8378249326.68292
Jul-02-2014,641.037,656.678,638.339,650.879,31528134.362934362,8396803439.911215
Jul-01-2014,641.391,657.858,640.107,640.806,45150228.515625,8435076740.808788
Jun-30-2014,602.62,645.155,599.883,639.797,26740321.006944444,8057338150.646123
Jun-29-2014,596.332,604.076,596.162,602.715,9786132.910447761,7766954785.655692
Jun-28-2014,599.077,604.473,595.918,596.549,18269280.662983425,7785782081.853385
Jun-27-2014,581.297,600.124,579.885,597.261,15871705.992509363,7595228174.963274
Jun-26-2014,566.137,581.629,564.731,581.137,17796393.96226415,7422078470.647236
Jun-25-2014,581.809,583.599,565.625,566.336,17670253.19148936,7444854646.981097
Jun-24-2014,593.97,596.971,582.357,582.357,12568735.335689045,7660308113.435838
Jun-23-2014,602.161,603.212,586.343,593.984,11415530.145454545,7677623283.120286
Jun-22-2014,595.904,605.997,594.627,602.273,11280778.541666666,7783416568.501836
Jun-21-2014,593.678,599.462,587.737,594.992,13184339.722222222,7679744997.903536
Jun-20-2014,597.402,599.754,587.756,594.146,17446822.299651567,7688256270.989178
Jun-19-2014,608.07,612.241,597.018,598.071,13677202.777777778,7840326874.351931
Jun-18-2014,609.767,615.881,604.396,607.958,21002427.083333332,7875846263.914585
Jun-17-2014,591.586,610.889,590.4,610.864,19789391.289198607,7740621801.74158
Jun-16-2014,592.649,608.72,587.068,592.188,31443928.472222224,7708449055.658922
Jun-15-2014,575.928,592.937,554.891,592.937,32105776.736111112,7325088720.140704
Jun-14-2014,600.746,601.27,549.821,577.358,30027775,7474576561.679715
Jun-13-2014,585.696,615.137,585.696,600.163,59071984.66898955,7722375048.396614
Jun-12-2014,633.428,638.109,573.272,586.952,26366485.069444444,8065775193.86176
Jun-11-2014,653.188,657.04,632.547,633.02,20541078.13620072,8326291362.173271
Jun-10-2014,650.042,659.615,646.564,653.15,18814451.56794425,8414062323.642393
Jun-09-2014,655.64,657.703,644.393,649.159,14119338.506944444,8373176501.515248
Jun-08-2014,654.994,658.884,653.47,656.14,9944768.993055556,8444911734.09235
Jun-07-2014,653.522,656.944,644.907,654.969,19712907.638888888,8401384047.892168
Jun-06-2014,659.283,661.366,652.304,653.702,24951745.644599304,8443665995.79294
Jun-05-2014,641.072,663.526,640.09,659.258,26252926.388888888,8377758323.048733
Jun-04-2014,666.774,668.563,624.089,641.614,48829172.759856634,8248727054.997926
Jun-03-2014,660.55,674.111,650.784,667.605,51154677.35191637,8509159803.363654
Jun-02-2014,629.645,665.498,618.745,660.618,47542278.81944445,8162675398.488569
Jun-01-2014,623.693,671.513,619.906,630.229,26833079.166666668,8275236639.109386
May-31-2014,615.687,624.715,604.471,623.677,25926495.833333332,7918032446.237581
May-30-2014,568.177,618.458,568.157,615.325,23539243.554006968,7567267985.332788
May-29-2014,576.33,577.096,561.596,568.18,19295990.175438598,7286452978.671964
May-28-2014,571.915,578.624,564.087,577.062,28220059.375,7336794400.181083
May-27-2014,582.588,589.517,554.434,571.244,30472731.707317073,7356534718.950901
May-26-2014,571.393,588.389,565.332,583.424,39562935.48387097,7428096753.985555
May-25-2014,525.228,576.478,525.228,571.588,32500836.458333332,7162474548.671399
May-24-2014,521.051,525.17,516.281,525.138,17908664.925373133,6673436229.018341
May-23-2014,525.715,541.956,520.076,520.222,34918169.33797909,6761509976.632479
May-22-2014,492.049,525.356,490.191,524.579,23426467.013888888,6504807489.705106
May-21-2014,485.8,494.369,483.489,491.77,31202923.505263157,6284435828.300891
May-20-2014,446.305,491.444,446.007,485.724,20856204.756944444,5942184301.398101
May-19-2014,446.076,447.555,443.1,446.181,4480137.108013937,5695099175.469039
May-18-2014,448.701,449.767,444.784,446.264,2688736.1458333335,5721549370.408863
May-17-2014,448.117,451.98,447.301,448.903,4925623.611111111,5741243362.433937
May-16-2014,447.386,450.661,444.964,448.058,6755427.108013937,5723841425.747995
May-15-2014,444.136,449.799,443.63,447.252,9029015.416666666,5712151010.663885
May-14-2014,440.592,446.659,440.503,443.972,8088830.55944056,5660700628.614156
May-13-2014,441.531,441.976,436.967,440.671,7292215,5614877544.136142
May-12-2014,438.303,442.26,434.231,441.462,10811231.533101045,5604940637.068017
May-11-2014,453.92,455.339,433.401,438.886,8734502.708333334,5674578468.463314
May-10-2014,450.456,455.771,448.468,454.433,9006769.583333334,5755037103.879792
May-09-2014,440.178,452.692,440.143,449.461,9228733.93728223,5675715465.392167
May-08-2014,438.679,448.399,438.143,440.169,14989552.100358423,5634284211.046922
May-07-2014,429.341,446.128,428.451,438.821,13112136.875,5560596188.85891
May-06-2014,433.364,448.038,423.251,428.962,11729299.475,5469268312.549535
May-05-2014,434.782,440.974,427.617,433.482,8424945.400696864,5504987625.175509
May-04-2014,438.517,439.769,430.054,436.403,8485122.847222222,5533459707.548426
May-03-2014,449.403,449.403,430.682,437.762,9093119.548611112,5609350326.165001
May-02-2014,457.364,457.929,443.403,449.377,12035047.804878049,5711512740.084543
May-01-2014,447.633,460.614,447.633,457.76,13583543.75,5772589945.96021
Apr-30-2014,446.89,451.099,436.699,447.645,16192266,5665748361.276837
Apr-29-2014,439.983,451.636,435.181,447.209,17729711.637931034,5648995375.596568
Apr-28-2014,430.716,447.534,422.942,440.285,20057905.21276596,5538193588.137762
Apr-27-2014,457.242,459.33,436.39,436.39,8859810.883392226,5732611376.626008
Apr-26-2014,461.705,464.543,449.103,458.601,26293487.719298247,5789510558.123598
